,clip_name,clip_relative_path,clip_output_path,export_status,part_index,part_count,observation_id,group_name,phase,day,pen,obs_date_raw,subject,modifiers,interval_start_obs_sec,interval_end_obs_sec,part_start_obs_sec,part_end_obs_sec,source_video_path,source_video_basename,source_segment_obs_start_sec,source_segment_obs_end_sec,clip_start_in_source_sec,clip_end_in_source_sec
0,CS_0001_POSTWEAN_d1_p2_cow6_02112025_ch02-20251102075200_684_702.mp4,Pen 2 - Group 2\POSTWEANING\Day 1\CS_0001_POSTWEAN_d1_p2_cow6_02112025_ch02-20251102075200_684_702.mp4,E:\cross_sucking\Pen 2 - Group 2\POSTWEANING\Day 1\CS_0001_POSTWEAN_d1_p2_cow6_02112025_ch02-20251102075200_684_702.mp4,skipped_existing,1,1,Pen_2_POSTWEAN_Day_1_02112025,Pen 2 - Group 2,POSTWEAN,1,2,2112025,6,grain feeder|T|None|side,684.424,702.951,684.424,702.951,G:\MONITORING CROSS SUCKING IN CALVES - KAPPEL - 2025\Pen 2 - Group 2\POSTWEANING\Day 1\ch02_20251102075200.mp4,ch02_20251102075200.mp4,0.0,2810.680667,684.424,702.951
1,CS_0002_POSTWEAN_d1_p2_cowA_02112025_ch02-20251102083856_5174_5221.mp4,Pen 2 - Group 2\POSTWEANING\Day 1\CS_0002_POSTWEAN_d1_p2_cowA_02112025_ch02-20251102083856_5174_5221.mp4,E:\cross_sucking\Pen 2 - Group 2\POSTWEANING\Day 1\CS_0002_POSTWEAN_d1_p2_cowA_02112025_ch02-20251102083856_5174_5221.mp4,skipped_existing,1,1,Pen_2_POSTWEAN_Day_1_02112025,Pen 2 - Group 2,POSTWEAN,1,2,2112025,A,other|1|reciprocal|side,5174.871,5221.337,5174.871,5221.337,G:\MONITORING CROSS SUCKING IN CALVES - KAPPEL - 2025\Pen 2 - Group 2\POSTWEANING\Day 1\ch02_20251102083856.mp4,ch02_20251102083856.mp4,2810.680667,5622.760334,2364.190333,2410.656333
2,CS_0003_POSTWEAN_d1_p2_cowA_02112025_ch02-20251102083856_5276_5656_part01.mp4,Pen 2 - Group 2\POSTWEANING\Day 1\CS_0003_POSTWEAN_d1_p2_cowA_02112025_ch02-20251102083856_5276_5656_part01.mp4,E:\cross_sucking\Pen 2 - Group 2\POSTWEANING\Day 1\CS_0003_POSTWEAN_d1_p2_cowA_02112025_ch02-20251102083856_5276_5656_part01.mp4,skipped_existing,1,2,Pen_2_POSTWEAN_Day_1_02112025,Pen 2 - Group 2,POSTWEAN,1,2,2112025,A,other|O|reciprocal|side,5276.121,5656.266,5276.121,5622.760334,G:\MONITORING CROSS SUCKING IN CALVES - KAPPEL - 2025\Pen 2 - Group 2\POSTWEANING\Day 1\ch02_20251102083856.mp4,ch02_20251102083856.mp4,2810.680667,5622.760334,2465.440333,2812.079667
3,CS_0003_POSTWEAN_d1_p2_cowA_02112025_ch02-20251102083856_5276_5656_part02.mp4,Pen 2 - Group 2\POSTWEANING\Day 1\CS_0003_POSTWEAN_d1_p2_cowA_02112025_ch02-20251102083856_5276_5656_part02.mp4,E:\cross_sucking\Pen 2 - Group 2\POSTWEANING\Day 1\CS_0003_POSTWEAN_d1_p2_cowA_02112025_ch02-20251102083856_5276_5656_part02.mp4,skipped_existing,2,2,Pen_2_POSTWEAN_Day_1_02112025,Pen 2 - Group 2,POSTWEAN,1,2,2112025,A,other|O|reciprocal|side,5276.121,5656.266,5622.760334,5656.266,G:\MONITORING CROSS SUCKING IN CALVES - KAPPEL - 2025\Pen 2 - Group 2\POSTWEANING\Day 1\ch02_20251102092612.mp4,ch02_20251102092612.mp4,5622.760334,8423.500001,0.0,33.505666
4,CS_0004_POSTWEAN_d1_p2_cowO_02112025_ch02-20251102083856_5276_5436.mp4,Pen 2 - Group 2\POSTWEANING\Day 1\CS_0004_POSTWEAN_d1_p2_cowO_02112025_ch02-20251102083856_5276_5436.mp4,E:\cross_sucking\Pen 2 - Group 2\POSTWEANING\Day 1\CS_0004_POSTWEAN_d1_p2_cowO_02112025_ch02-20251102083856_5276_5436.mp4,skipped_existing,1,1,Pen_2_POSTWEAN_Day_1_02112025,Pen 2 - Group 2,POSTWEAN,1,2,2112025,O,other|A|reciprocal|side,5276.121,5436.053,5276.121,5436.053,G:\MONITORING CROSS SUCKING IN CALVES - KAPPEL - 2025\Pen 2 - Group 2\POSTWEANING\Day 1\ch02_20251102083856.mp4,ch02_20251102083856.mp4,2810.680667,5622.760334,2465.440333,2625.372333
5,CS_0005_POSTWEAN_d1_p2_cowT_02112025_ch02-20251102092612_7104_7337.mp4,Pen 2 - Group 2\POSTWEANING\Day 1\CS_0005_POSTWEAN_d1_p2_cowT_02112025_ch02-20251102092612_7104_7337.mp4,E:\cross_sucking\Pen 2 - Group 2\POSTWEANING\Day 1\CS_0005_POSTWEAN_d1_p2_cowT_02112025_ch02-20251102092612_7104_7337.mp4,skipped_existing,1,1,Pen_2_POSTWEAN_Day_1_02112025,Pen 2 - Group 2,POSTWEAN,1,2,2112025,T,other|8|None|side,7104.3,7337.292,7104.3,7337.292,G:\MONITORING CROSS SUCKING IN CALVES - KAPPEL - 2025\Pen 2 - Group 2\POSTWEANING\Day 1\ch02_20251102092612.mp4,ch02_20251102092612.mp4,5622.760334,8423.500001,1481.539666,1714.531666
6,CS_0006_POSTWEAN_d1_p2_cow8_02112025_ch02-20251102092612_7133_7228.mp4,Pen 2 - Group 2\POSTWEANING\Day 1\CS_0006_POSTWEAN_d1_p2_cow8_02112025_ch02-20251102092612_7133_7228.mp4,E:\cross_sucking\Pen 2 - Group 2\POSTWEANING\Day 1\CS_0006_POSTWEAN_d1_p2_cow8_02112025_ch02-20251102092612_7133_7228.mp4,skipped_existing,1,1,Pen_2_POSTWEAN_Day_1_02112025,Pen 2 - Group 2,POSTWEAN,1,2,2112025,8,other|T|reciprocal|side,7133.348,7228.624,7133.348,7228.624,G:\MONITORING CROSS SUCKING IN CALVES - KAPPEL - 2025\Pen 2 - Group 2\POSTWEANING\Day 1\ch02_20251102092612.mp4,ch02_20251102092612.mp4,5622.760334,8423.500001,1510.587666,1605.863666
7,CS_0007_POSTWEAN_d1_p2_cowT_02112025_ch02-20251102092612_7403_7452.mp4,Pen 2 - Group 2\POSTWEANING\Day 1\CS_0007_POSTWEAN_d1_p2_cowT_02112025_ch02-20251102092612_7403_7452.mp4,E:\cross_sucking\Pen 2 - Group 2\POSTWEANING\Day 1\CS_0007_POSTWEAN_d1_p2_cowT_02112025_ch02-20251102092612_7403_7452.mp4,skipped_existing,1,1,Pen_2_POSTWEAN_Day_1_02112025,Pen 2 - Group 2,POSTWEAN,1,2,2112025,T,other|3|None|behind,7403.922,7452.745,7403.922,7452.745,G:\MONITORING CROSS SUCKING IN CALVES - KAPPEL - 2025\Pen 2 - Group 2\POSTWEANING\Day 1\ch02_20251102092612.mp4,ch02_20251102092612.mp4,5622.760334,8423.500001,1781.161666,1829.984666
8,CS_0008_POSTWEAN_d1_p2_cow3_02112025_ch02-20251102092612_7405_7445.mp4,Pen 2 - Group 2\POSTWEANING\Day 1\CS_0008_POSTWEAN_d1_p2_cow3_02112025_ch02-20251102092612_7405_7445.mp4,E:\cross_sucking\Pen 2 - Group 2\POSTWEANING\Day 1\CS_0008_POSTWEAN_d1_p2_cow3_02112025_ch02-20251102092612_7405_7445.mp4,skipped_existing,1,1,Pen_2_POSTWEAN_Day_1_02112025,Pen 2 - Group 2,POSTWEAN,1,2,2112025,3,other|/|None|side,7405.438,7445.253,7405.438,7445.253,G:\MONITORING CROSS SUCKING IN CALVES - KAPPEL - 2025\Pen 2 - Group 2\POSTWEANING\Day 1\ch02_20251102092612.mp4,ch02_20251102092612.mp4,5622.760334,8423.500001,1782.677666,1822.492666
9,CS_0009_POSTWEAN_d1_p2_cow1_02112025_ch02-20251102101314_8715_8793.mp4,Pen 2 - Group 2\POSTWEANING\Day 1\CS_0009_POSTWEAN_d1_p2_cow1_02112025_ch02-20251102101314_8715_8793.mp4,E:\cross_sucking\Pen 2 - Group 2\POSTWEANING\Day 1\CS_0009_POSTWEAN_d1_p2_cow1_02112025_ch02-20251102101314_8715_8793.mp4,skipped_existing,1,1,Pen_2_POSTWEAN_Day_1_02112025,Pen 2 - Group 2,POSTWEAN,1,2,2112025,1,other|/|None|side,8715.858,8793.681,8715.858,8793.681,G:\MONITORING CROSS SUCKING IN CALVES - KAPPEL - 2025\Pen 2 - Group 2\POSTWEANING\Day 1\ch02_20251102101314.mp4,ch02_20251102101314.mp4,8423.500001,11256.687668,292.357999,370.180999
10,CS_0010_POSTWEAN_d1_p2_cowslash_02112025_ch02-20251102101314_8726_8777.mp4,Pen 2 - Group 2\POSTWEANING\Day 1\CS_0010_POSTWEAN_d1_p2_cowslash_02112025_ch02-20251102101314_8726_8777.mp4,E:\cross_sucking\Pen 2 - Group 2\POSTWEANING\Day 1\CS_0010_POSTWEAN_d1_p2_cowslash_02112025_ch02-20251102101314_8726_8777.mp4,skipped_existing,1,1,Pen_2_POSTWEAN_Day_1_02112025,Pen 2 - Group 2,POSTWEAN,1,2,2112025,/,other|1|reciprocal|side,8726.808,8777.604,8726.808,8777.604,G:\MONITORING CROSS SUCKING IN CALVES - KAPPEL - 2025\Pen 2 - Group 2\POSTWEANING\Day 1\ch02_20251102101314.mp4,ch02_20251102101314.mp4,8423.500001,11256.687668,303.307999,354.103999
11,CS_0011_POSTWEAN_d1_p2_cow1_02112025_ch02-20251102101314_8811_8880.mp4,Pen 2 - Group 2\POSTWEANING\Day 1\CS_0011_POSTWEAN_d1_p2_cow1_02112025_ch02-20251102101314_8811_8880.mp4,E:\cross_sucking\Pen 2 - Group 2\POSTWEANING\Day 1\CS_0011_POSTWEAN_d1_p2_cow1_02112025_ch02-20251102101314_8811_8880.mp4,skipped_existing,1,1,Pen_2_POSTWEAN_Day_1_02112025,Pen 2 - Group 2,POSTWEAN,1,2,2112025,1,other|/|reciprocal|side,8811.864,8880.333,8811.864,8880.333,G:\MONITORING CROSS SUCKING IN CALVES - KAPPEL - 2025\Pen 2 - Group 2\POSTWEANING\Day 1\ch02_20251102101314.mp4,ch02_20251102101314.mp4,8423.500001,11256.687668,388.363999,456.832999
